Nume,Plastic,Hartie,Carti,Sticla,Metal,Haine,Electronice,Electrocasnice,Ochelari,Baterii,Vapes,Vopsea,Automobile,Antigel,Ulei,Moloz,Telefon,ZileLucrate,Program,Adresa,Latitudine,Longitudine,Descriere
Chimice-Periculoase Sector 3,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Da,Nu,Nu,0774.060.606,Luni Marti Miercuri Joi Vineri,08:00-17:00,Str. Constantin Brancusi 23-17 Bucuresti 030426,44.430057,26.165262,Chimice-Periculoase Bucuresti-Sector 3 reprezinta pagina unde puteti gasi informatii despre Chimice-Periculoase Bucuresti-Sector 3.
Spending Elements Best Selection S.R.L,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,0786.533.556,Luni Marti Miercuri Joi Vineri,10:00-18:00,Str. Giurgiului 269 1 Decembrie 077005,44.282947,26.059874,Spending Elements Best Selection S.R.L va ofera ajutor cu urmatoarele tipuri de deseuri in Bucuresti Sector 4: Deseuri electrice si electronice.
Remat Militari,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,0214.341.029,Luni Marti Miercuri Joi Vineri,07:30-16:00,Str. Barsanesti 44 Bucuresti 077042,44.430361,26.008185,Societatea noastra va ofera serviciul de dezafectari constructii si instalatii metalice deplasand la sediul dumenavoastra echipe de taietori asigurand inclusiv transportul si valorificarea deseurilor rezultate.
Centru de Colectare Fier Vechi,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,0728.559.659,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-19:00,Sos. Colentina 409 Bucuresti 021194,44.474399,26.156253,Centru de colectare fier vechi! Cele mai mari preturi! Cantar Auto 15T
Hornbach Militari,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Da,Nu,Da,Nu,Nu,Nu,Nu,0310.805.283,Luni Marti Miercuri Joi Vineri Sambata Duminica,08:00-21:00,Str. Hornbach 1 Domnesti 088090,44.435281,25.959151,Exista lucruri care nu au ce cauta la gunoi: baterii sau aparate electrice si lampi fluorescente sau tuburi de spuma poliuretanica.
Smokemania,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,0215.552.2352,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-20:00,Str. Barbu Vacarescu 13 Bucuresti 020271,44.453922,26.104818,Daca esti in Bucuresti le poti recicla oricand la showroom-ul Smokemania pentru ca vrem sa ne asiguram ca tu te bucuri de vapat iar mediul înconjurator nu este poluat.
Vuse Go,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,0771.695.264,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-21:00,Str. Liviu Rebreanu 6a Bucuresti 032474,44.424591,26.161122,Returneaza dispozitivele si capsulele tale folosite intr-unul din centrele de colectare Vuse si de restul ne ocupam noi.
Kaufland,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,0800.080.888,Luni Marti Miercuri Joi Vineri,07:00-22:00,Str. Popa Nan 82 Bucuresti 030584,44.433446,26.124421,Bateriile uzate pot contine metale grele extrem de toxice care odata ajunse in natura sau eliminate necorespunzator pot contamina solul si panza freatica. De aceea este important sa le reciclam.
Kaufland,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,0800.080.888,Luni Marti Miercuri Joi Vineri Sambata Duminica,07:00-22:00,Bd. 1 Mai 55 Bucuresti 061629,44.417956,26.038931,Bateriile uzate pot contine metale grele extrem de toxice care odata ajunse in natura sau eliminate necorespunzator pot contamina solul si panza freatica. De aceea este important sa le reciclam.
Lensa,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0371.525.777,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-21:00,Bd. Iuliu Maniu 18g Bucuresti 061087,44.434171,26.036181,Ochelarii vechi chiar incurca! Dar nu trebuie sa ne crezi pe cuvant. Intra in posesia VOUCHERELOR!
